Violation_ID,Timestamp,Location,Violation_Type,Vehicle_Type,Severity,Fine_Amount
4a4ec7b0-3e36-4a91-bdb3-10129becee93,2025-05-27 01:28:00,"71.4840255,156.854866",No Helmet,Bike,Medium,abc
deabd950-a439-4aae-9843-7ecf5fa77915,2025-06-08 19:13:13,"5.033569,-46.744152",Speeding,Bike,Low,1972
45877086-663e-4a4b-ba68-3081c6570c3f,2025-05-18 13:47:19,"1.643626,33.749842",Parking,Bike,High,abc
f797bf53-a8bd-4bf6-8304-e1c648a72239,2025-07-12 22:13:53,"58.8018325,-82.477436",Speeding,Bus,Low,1366
059dcb49-900b-44be-800e-da47ac2a515a,2025-02-11 21:05:59,"53.036763,-1.398978",Seat Belt,Auto,High,abc
2cde11e5-63ab-4579-968c-ea98223b1c54,2025-01-15 14:01:56,"-80.730026,-148.169243",Parking,Truck,High,abc
5859ff3f-7b32-4623-9593-3a98c95f1c88,2025-06-04 08:01:59,"33.8960195,113.690598",,Bike,High,
78abdc53-bf17-45f1-8597-d70766da4f66,2025-04-15 06:08:41,"5.1863305,-1.251464",Speeding,Auto,Medium,296
a810fdec-0101-4f1c-88c6-332e12102d9c,2025-05-23 23:26:32,"57.9114105,152.073237",No Helmet,Auto,High,abc
65b04eb0-f196-4b9b-82f3-63436e71ec85,2025-07-26 18:07:13,"-67.019908,-34.869957",No Helmet,Car,Low,abc
a6f846cb-db39-4260-aa6d-87c30f652251,2025-08-04 04:27:11,"59.769866,41.711134",No Helmet,Bus,High,
9eec3efd-66d8-4fbf-bd87-9f1840521b1d,2025-02-19 00:07:54,"-55.4782635,112.401662",No Helmet,Bus,High,1210
ccae2363-f218-493a-9bd4-c76b148d5372,2025-08-13 14:31:41,"-12.3499455,86.867387",Red Light,Bike,Low,1272
57b83a72-01a6-4d87-ad82-6adae921c3d1,2025-01-19 18:27:50,"67.379114,18.452018",Speeding,Bus,Medium,
9da0ad92-3432-4f67-b509-5aae94c24cce,2025-09-24 09:16:37,"-31.524985,-46.549632",Speeding,Truck,Low,abc
e62b64b5-de20-48c2-acf0-5bf76f5fc411,2025-05-23 13:28:41,"36.591091,58.566009",No Helmet,Bike,Low,
8ba63551-dbe2-41d2-8488-e2aa858dacd6,32/13/2025,"7.2504035,54.758479",Parking,Auto,Medium,abc
429dac7a-b44b-43d9-9642-46af560c09f4,2025-01-13 07:54:22,"-18.5458905,78.161716",Seat Belt,Truck,High,abc
c52c89b3-fdc6-401d-b16d-037ebbd797d0,2025-10-06 18:41:23,"85.1336315,12.010818",Seat Belt,Car,Medium,abc
f71b859a-ee0b-47b8-8bc9-eb1a1a194b60,2025-08-21 00:34:23,"15.8323295,-46.204339",Speeding,Bus,High,
8af05b43-4945-469b-b7d7-450040bf24da,2025-03-02 02:31:00,"-10.3074365,54.469299",Red Light,Car,Medium,abc
51f77141-2419-4a63-8ba1-d74beadce0a8,2025-01-22 22:11:13,"-4.5073165,-46.563792",,Bike,Low,
6b4baae0-87a2-41cc-b100-7c5f51f879e1,2025-08-14 22:36:50,"64.9025525,-142.157760",Parking,Bike,Medium,1027
adab1076-5db3-4de6-a945-c37d0e652f0f,2025-08-21 22:46:40,"-58.805373,63.471489",Red Light,Car,High,abc
380183a1-63be-4eb2-91e0-e544303f4234,2025-01-15 10:17:46,"63.5571605,-32.989883",No Helmet,Truck,Low,155
8179f8ac-a6cb-4dca-b97a-5a79f64be144,2025-04-04 01:16:14,"-8.9953035,-42.940727",Red Light,Bus,Low,1419
476b648f-d232-431d-a24f-efd87f504c69,2025-02-27 11:32:00,"-23.991716,-167.772185",,Bus,Medium,1382
6295ccb8-4371-4453-833f-77eeb3655c85,2025-04-29 07:32:00,"41.422706,-41.261010",Seat Belt,Auto,High,
7b57832e-69f8-428c-b12f-bb07f8825d30,2025-09-22 00:10:09,"83.780188,27.907774",Red Light,Bus,Low,812
b2dbb90f-0a25-4398-aac9-7dac0dfef467,2025-10-03 23:52:53,"23.0050815,83.807466",No Helmet,Auto,Medium,1923
5d67850d-d787-48fe-92ec-9cc2921f7bcb,2025-07-27 16:33:05,"61.7038785,-137.846303",Red Light,Auto,Low,abc
a71afce3-6629-46bd-8d46-b559074a7ffa,2025-07-20 01:25:07,"-30.328984,20.949521",Parking,Auto,High,1717
2f56758f-7b72-4664-bc18-75e42eae3c2b,2025-05-22 12:43:32,"-80.197265,-35.240178",Red Light,Auto,Low,
cda9e377-056c-4f14-a275-9303373cf7d8,2025-06-22 10:24:24,"-84.4591175,-31.903894",Parking,Truck,Low,
9e75088a-407f-4d33-a1b9-b92eae9034cd,2025-03-04 01:58:20,"74.863619,-21.569819",No Helmet,Auto,Medium,
7979297c-2ce6-414d-9da3-a4a9af4a4ca5,2025-01-15 17:21:55,"-85.9355175,-40.061360",Red Light,Auto,Low,
d8b337af-8d8e-4f89-bdb4-dce68a894a5c,2025-03-14 16:26:02,"41.1290545,-128.497189",Parking,Bike,High,
ff07173b-e481-460d-9a44-3d2b0b8ddd3c,2025-05-16 13:38:53,"35.8986615,-122.695119",Red Light,Bike,Medium,
a0d29c9a-ed32-49f9-b7db-f639afad063c,2025-02-01 04:26:37,"34.0848085,154.970835",,Car,Low,
95870d07-699d-46ed-8f5c-6aaba17b1b99,2025-02-22 13:59:01,"-7.0920435,82.751734",No Helmet,Truck,High,abc
42695acb-ddc6-4a60-944f-0c137f1cb054,2025-09-27 22:04:26,"42.127768,-92.229052",Seat Belt,Bike,Medium,
063832ce-6fc4-47ca-91e1-9e7c5b088404,2025-07-22 16:18:39,"-11.2903415,144.276652",Parking,Auto,Medium,abc
c83b2739-a6b0-4fbe-bc3a-ac010ccd5bd7,32/13/2025,"-57.8693295,31.238775",Speeding,Car,Medium,482
